id,carat,cut,color,clarity,depth,table,price
44,1.02,5,6,2,62.1,55.0,4798
45,0.4,2,6,2,64.2,57.0,798
46,0.5,5,4,6,62.2,56.0,1760
47,0.3,4,5,4,62.8,58.0,776
48,0.8,2,4,2,64.2,55.0,2246
49,2.01,3,3,2,63.1,59.0,10184
50,0.3,3,2,2,63.3,56.0,450
51,0.7,3,3,2,63.4,55.0,2094
52,0.44,3,6,5,59.7,59.0,1090
53,0.55,5,6,3,62.3,56.0,1551
54,1.01,5,4,6,62.0,58.0,7597
55,0.54,3,7,5,63.0,54.0,2016
56,0.53,3,4,5,60.9,56.0,1636
57,0.35,5,6,3,62.3,56.0,614
58,0.71,5,6,3,60.5,56.0,3527
59,0.5,3,1,2,60.7,57.0,947
60,0.42,4,4,7,59.8,58.0,1235
61,0.54,5,3,7,61.1,57.0,1846
62,0.7,2,2,3,58.5,61.0,2276
63,2.22,3,1,2,61.2,63.0,10662
64,1.11,5,4,6,61.8,57.0,8858
65,0.32,5,3,4,62.0,54.0,523
66,1.01,4,4,5,62.7,58.0,6221
67,1.2,2,4,3,63.5,60.0,4828
68,1.05,3,6,3,59.7,57.0,6224
69,0.55,4,6,4,61.1,58.0,1928
70,0.23,3,6,6,63.0,58.0,505
71,0.7,5,3,4,62.8,55.0,2607
72,1.2,3,6,3,62.6,58.0,6098
73,0.41,4,5,5,61.1,58.0,1076
74,1.04,5,2,4,61.5,57.0,5105
75,0.71,3,5,4,61.3,56.0,2709
76,1.56,4,1,5,61.1,59.0,8476
77,1.27,3,2,3,63.0,60.0,6654
78,0.36,5,6,4,62.1,55.0,1013
79,2.1,4,1,3,62.9,58.0,13930
80,0.25,3,6,6,62.0,56.0,560
81,1.53,4,4,5,60.2,59.0,13119
82,0.75,4,2,3,62.7,61.0,2142
83,0.7,1,5,2,58.2,66.0,1920
84,0.93,3,5,3,59.8,58.0,4256
85,1.01,4,6,2,60.6,58.0,4118
86,1.0,1,3,3,56.3,63.0,4150
87,1.02,5,4,4,62.6,57.0,5922
88,0.31,4,2,5,59.2,60.0,628
89,0.4,4,7,3,62.5,61.0,924
90,0.31,5,4,8,62.1,56.0,871
91,0.28,4,6,7,61.1,60.0,828
92,0.7,5,5,6,61.0,57.0,3478
93,0.33,4,3,5,62.9,59.0,743
94,0.31,4,4,4,60.9,58.0,544
95,0.51,3,3,5,60.7,56.0,1628
96,0.41,3,4,6,61.6,56.0,1007
97,1.08,5,7,2,61.6,57.0,5352
98,0.25,5,4,5,62.7,54.0,438
99,0.9,2,6,7,63.4,60.0,7214
100,0.41,5,1,5,62.7,54.0,648
101,0.52,4,7,4,60.9,58.0,1619
102,0.36,3,6,3,63.5,58.0,593
103,0.42,4,5,4,61.9,58.0,945
104,0.78,3,2,2,62.5,58.0,2132
105,1.88,3,7,2,63.2,60.0,9791
106,0.5,2,6,4,59.8,57.0,1395
107,1.09,3,5,5,62.9,58.0,7598
108,0.3,3,4,3,58.8,60.0,447
109,1.05,4,4,4,62.8,58.0,6181
110,0.33,5,7,5,61.0,56.0,1077
111,0.33,3,4,6,62.8,57.0,752
112,1.53,4,2,4,62.0,58.0,10196
113,1.5,5,4,3,61.0,57.0,12009
114,0.31,3,4,4,63.0,54.0,544
115,1.02,2,5,4,63.3,59.0,6479
116,1.01,4,4,3,62.7,59.0,4808
117,0.32,5,4,6,62.1,57.0,936
118,1.8,5,5,3,61.8,57.0,16513
119,2.01,1,4,3,70.6,64.0,18574
120,1.12,4,4,2,61.0,60.0,3838
121,1.01,3,4,5,63.2,58.0,6618
122,0.7,3,2,7,61.2,58.0,2513
123,1.2,5,6,6,61.5,57.0,11883
124,2.17,4,5,2,59.3,61.0,13084
125,0.42,5,5,4,62.0,55.0,872
126,0.32,3,7,6,60.1,58.0,791
127,2.4,4,1,3,59.7,58.0,15920
128,0.32,3,6,3,63.3,55.0,672
129,1.01,5,4,2,62.4,56.0,4242
130,0.61,5,4,5,61.8,56.0,2041
131,1.37,5,4,7,62.6,55.0,12342
132,0.71,4,3,2,61.5,60.0,1826
133,0.41,4,4,4,61.8,58.0,1061
134,0.34,3,4,6,61.7,56.0,775
135,0.32,4,3,4,62.7,58.0,605
136,0.54,5,3,4,61.5,55.0,1453
137,0.37,4,7,5,60.2,60.0,803
138,1.51,4,5,4,62.5,58.0,14294
139,1.05,1,7,2,65.4,59.0,3816
140,1.2,3,4,4,63.1,57.0,7371
141,0.83,5,5,3,62.2,55.0,3560
142,0.73,4,5,5,61.9,56.0,2961
143,1.03,3,4,5,62.2,57.0,6539
144,0.41,3,7,6,61.2,55.0,1364
145,0.38,5,6,6,59.9,61.0,1008
146,0.55,3,6,6,60.6,56.0,2499
147,1.25,5,3,6,60.8,57.0,8789
148,0.9,5,2,5,61.8,56.0,3724
149,0.3,5,4,5,62.2,55.0,776
150,0.92,5,1,4,61.1,57.0,3215
151,0.3,4,6,4,61.8,58.0,844
152,1.02,5,4,4,62.5,57.0,6352
153,0.35,5,2,4,61.7,57.0,630
154,1.53,4,2,2,62.1,59.0,7539
155,2.01,4,1,2,61.4,60.0,12407
156,0.9,2,5,4,59.8,61.0,4253
157,1.06,3,6,6,61.8,58.0,9997
158,0.33,5,4,7,61.7,56.0,1114
159,1.67,3,3,3,59.4,61.0,11146
160,0.56,3,6,4,61.0,58.0,1755
161,0.7,5,5,5,62.2,56.0,2792
162,0.27,4,5,8,61.7,57.0,820
163,2.01,4,3,3,61.2,62.0,12829
164,1.32,4,3,2,62.7,58.0,6431
165,0.38,4,5,7,61.6,58.0,1257
166,1.53,5,4,3,61.3,57.0,8529
167,1.0,4,5,3,62.6,60.0,5197
168,0.52,5,7,4,61.8,56.0,1822
169,0.72,3,6,3,61.6,58.0,2688
170,0.63,5,5,4,61.2,56.0,2182
171,2.51,2,4,2,59.5,65.0,14251
172,0.5,5,2,6,60.5,57.0,1640
173,2.14,4,2,3,59.5,59.0,15499
174,0.54,5,4,5,61.9,54.0,1847
175,0.33,5,7,4,62.3,54.0,855
176,0.83,5,6,3,61.5,55.0,4024
177,0.42,5,5,6,61.6,56.0,1221
178,0.38,5,3,5,62.1,55.4,714
179,0.52,5,6,4,61.9,56.0,1815
180,1.51,3,3,4,61.9,57.0,10090
181,0.36,5,5,8,62.2,55.0,1215
182,0.4,4,3,3,62.7,58.0,666
183,1.02,4,4,5,62.0,56.0,6683
184,1.51,4,4,4,62.7,58.0,12872
185,0.91,5,6,3,60.7,56.0,3665
186,0.44,4,4,3,60.1,60.0,990
187,0.37,5,6,3,61.4,56.0,606
188,0.91,4,4,3,62.6,58.0,3975
189,1.02,3,6,2,63.3,58.0,4540
190,0.5,5,7,4,61.1,57.0,2243
191,0.4,5,2,6,61.9,56.4,728
192,1.59,2,5,3,63.6,57.0,11716
193,0.39,5,3,3,61.9,55.7,654
194,1.02,5,4,3,62.2,56.0,5082
195,0.7,5,5,5,62.0,55.0,2726
196,0.51,3,5,4,63.1,58.0,1574
197,0.4,5,7,4,61.7,56.0,1172
198,1.5,3,2,4,63.0,57.0,8662
199,1.07,3,5,8,59.4,59.0,11019
200,2.06,5,3,2,62.0,57.0,11040
201,1.56,2,1,4,57.6,65.0,6966
202,1.23,5,5,5,61.3,57.0,8679
203,0.7,4,4,4,62.5,55.0,2479
204,0.25,3,6,4,63.3,56.0,436
205,0.38,5,4,3,62.0,55.0,969
206,0.34,4,4,4,60.2,58.0,596
207,0.31,5,3,8,62.0,56.0,772
208,0.76,5,2,3,62.3,57.0,2474
209,1.51,4,1,4,60.7,60.0,7357
210,1.02,4,4,4,62.6,59.0,5978
211,0.31,5,6,4,61.8,54.0,680
212,0.9,3,2,4,62.4,58.0,3398
213,2.04,3,1,4,62.4,57.0,13825
214,0.33,5,5,4,62.3,56.0,854
215,0.7,4,5,2,61.2,59.0,1792
216,0.34,5,4,8,61.6,56.0,1084
217,0.54,5,2,3,60.0,59.0,1170
218,0.4,5,6,2,61.2,55.0,666
219,0.4,4,7,5,60.9,58.0,1200
220,0.42,5,3,6,62.0,57.0,823
221,2.13,4,3,2,62.4,56.0,12753
222,2.04,4,1,4,61.4,59.0,13600
223,1.01,3,4,3,63.0,57.0,4890
224,0.71,5,2,4,61.5,55.0,2878
225,0.7,3,6,3,63.2,57.0,2617
226,1.0,4,3,8,60.6,57.0,7235
227,0.4,5,5,6,62.4,57.0,1088
228,0.35,5,5,4,62.4,55.0,706
229,0.33,5,5,7,61.8,55.0,1141
230,1.7,4,6,3,62.3,57.0,15662
231,0.42,4,4,4,59.8,58.0,847
232,0.55,3,2,2,63.1,58.0,1041
233,0.6,4,5,2,58.9,59.0,1378
234,0.35,5,5,7,60.6,57.0,994
235,0.58,2,6,5,58.6,64.0,2185
236,0.3,5,6,7,61.7,57.0,1071
237,0.56,5,3,3,61.6,56.0,1612
238,1.52,5,2,4,62.1,59.0,9465
239,0.7,4,6,3,58.6,60.0,2657
240,0.5,4,4,5,60.9,58.0,1746
241,0.4,3,1,8,62.2,61.0,828
242,1.0,4,5,4,59.9,59.0,5864
243,0.7,4,3,3,59.0,60.0,2331
244,0.59,3,5,3,61.7,57.0,1412
245,0.38,2,5,4,56.2,61.0,873
246,2.01,2,7,2,59.9,65.0,16624
247,0.38,5,6,5,60.7,56.0,933
248,0.42,5,4,6,62.1,57.0,1103
249,0.43,4,7,4,59.7,59.0,901
250,1.16,4,3,3,60.2,59.0,5480
251,0.57,4,4,5,62.4,58.0,1949
252,0.54,5,7,5,62.0,56.0,1941
253,0.61,2,4,5,60.2,61.0,1785
254,0.7,4,1,5,60.9,58.0,2005
255,0.3,3,4,6,63.0,57.0,684
256,1.04,3,3,3,58.9,63.0,4484
257,1.2,4,3,3,62.4,58.0,5718
258,0.53,5,4,4,61.8,56.0,1607
259,1.53,3,4,4,58.9,59.0,13225
260,0.7,3,7,3,63.5,58.0,2686
261,1.0,3,6,2,62.4,57.0,4620
262,0.31,5,7,2,62.0,56.0,462
263,1.22,5,1,3,60.6,56.0,5586
264,0.71,4,5,3,58.5,59.0,2345
265,0.51,4,4,3,61.4,58.0,1071
266,0.5,5,5,4,62.5,57.0,1436
267,0.64,3,7,3,62.3,58.0,1969
268,2.01,5,3,2,61.9,57.0,14167
269,1.0,5,7,3,62.8,55.0,5639
270,0.56,5,2,4,62.1,54.0,1237
271,0.53,5,4,3,62.7,55.0,1308
272,1.61,5,4,4,62.2,56.0,9521
273,1.05,3,6,2,63.2,59.0,4281
274,1.04,1,4,5,64.9,58.0,5633
275,0.3,4,6,4,62.9,58.0,844
276,0.53,5,7,3,62.3,56.0,1683
277,0.3,3,7,3,62.2,58.0,552
278,1.02,5,4,6,61.1,57.0,7898
279,1.04,5,3,3,62.1,57.0,4801
280,1.21,5,2,2,60.6,56.0,5184
281,2.54,3,2,2,63.4,56.0,12095
282,0.56,5,6,5,61.0,57.0,1978
283,0.4,5,6,6,61.7,57.0,1056
284,0.79,5,6,4,62.2,55.0,3827
285,1.06,4,1,2,62.0,58.0,3823
286,0.27,3,6,6,61.9,58.0,575
287,1.01,5,2,3,60.6,57.0,3999
288,1.0,3,2,4,63.2,58.0,3265
289,1.02,4,7,2,60.9,61.0,4381
290,0.32,5,2,4,60.3,56.0,576
291,0.82,3,4,4,59.8,56.0,3535
292,0.3,5,6,4,61.3,58.0,621
293,0.41,5,3,4,60.7,55.0,1163
294,2.28,3,2,2,62.9,57.0,16041
295,0.71,4,2,6,61.4,56.0,2386
296,1.12,4,3,2,61.0,59.0,4077
297,0.72,5,6,2,61.9,55.0,2398
298,0.31,5,6,6,61.1,56.0,864
299,1.03,4,4,4,62.3,59.0,6214
300,0.24,2,5,7,64.8,57.0,492
301,1.55,4,2,3,62.5,60.0,8866
302,1.31,5,4,5,61.6,57.0,12008
303,1.02,5,5,2,62.1,56.0,4162
304,0.83,5,7,3,61.5,53.0,3933
305,1.19,4,6,5,59.8,58.0,9263
306,1.09,4,3,2,62.0,57.0,4700
307,0.71,5,5,2,65.3,53.0,2445
308,0.32,5,5,3,61.6,55.0,648
309,0.39,2,1,4,63.3,56.0,581
310,0.42,4,6,3,62.8,59.0,992
311,0.7,4,5,2,60.3,58.0,1806
312,0.58,5,6,6,61.8,57.0,2694
313,0.41,4,7,6,61.9,59.0,1105
314,1.54,5,3,2,60.9,56.4,9452
315,0.53,5,6,2,63.0,57.0,1262
316,0.51,4,4,4,62.6,57.0,1443
317,0.52,2,6,4,61.5,61.0,1660
318,0.45,3,7,4,62.9,58.4,1311
319,0.5,4,4,3,62.6,56.0,1286
320,0.3,5,4,8,62.3,55.0,863
321,1.0,2,7,2,64.0,59.0,3634
322,1.21,5,5,3,61.1,55.0,6659
323,0.31,4,7,2,61.5,60.0,593
324,0.34,5,5,4,60.8,57.0,699
325,1.52,2,2,4,63.3,61.0,8778
326,0.41,5,5,7,62.3,53.0,1356
327,0.72,3,4,4,63.1,57.0,2732
328,0.71,4,2,4,60.0,58.0,1952
329,0.9,5,2,4,61.3,56.0,3805
330,1.01,2,4,2,64.0,59.0,3461
331,0.44,5,5,7,61.5,57.0,1319
332,0.27,3,6,6,59.4,64.0,567
333,0.31,4,6,4,60.6,59.0,872
334,0.71,5,6,7,61.9,55.0,4027
335,0.4,3,6,6,61.0,55.0,1106
336,0.41,5,6,2,61.5,58.0,654
337,1.01,3,3,4,62.6,61.0,4821
338,1.01,2,5,2,63.0,60.0,3827
339,1.51,5,4,5,62.8,56.0,13811
340,1.27,4,5,6,61.3,60.0,11905
341,0.74,5,6,2,60.9,57.0,2594
342,0.33,5,7,3,62.8,55.0,780
343,0.41,4,3,6,62.2,58.0,961
344,1.52,1,3,1,65.4,62.0,4648
345,0.43,5,5,4,61.4,54.0,848
346,0.5,3,6,6,59.1,61.0,2106
347,0.51,3,7,3,63.5,55.0,1574
348,0.51,5,4,6,62.1,58.0,1844
349,0.33,3,4,5,61.3,57.0,681
350,0.32,5,7,4,62.3,57.0,758
351,0.71,3,4,3,61.6,61.0,2515
352,0.51,3,7,3,63.0,58.0,1442
353,1.05,1,3,2,64.8,55.0,2717
354,0.3,5,6,6,61.1,55.0,837
355,0.31,5,6,6,60.4,61.0,710
356,0.5,1,7,7,65.9,64.0,1792
357,1.01,3,4,5,59.3,57.0,7451
358,0.58,3,6,3,61.5,58.0,1424
359,1.25,4,3,4,60.4,59.0,7378
360,0.5,2,7,3,63.8,60.0,1333
361,1.7,4,6,2,59.8,59.0,9596
362,2.28,2,1,2,63.6,57.0,9068
363,0.59,4,3,6,62.3,55.0,1886
364,0.82,4,6,3,62.5,56.0,3295
365,0.61,5,6,5,61.7,55.0,2285
366,1.31,3,2,2,59.6,60.0,5187
367,0.31,4,4,3,62.4,55.0,593
368,1.01,3,6,6,61.7,60.0,9930
369,0.91,5,4,5,62.1,57.0,5795
370,0.9,4,5,3,62.8,59.0,3992
371,0.51,2,6,3,63.9,54.0,1443
372,0.4,4,3,5,62.6,58.0,1035
373,0.9,5,4,2,61.2,57.0,3521
374,1.11,5,6,8,61.8,55.0,15464
375,0.43,5,4,3,61.5,57.0,790
376,1.52,4,5,3,62.6,59.0,11743
377,0.4,5,4,4,60.9,58.0,825
378,0.91,2,6,3,60.2,60.0,4523
379,0.8,4,3,3,61.5,58.0,2760
380,2.15,1,1,1,65.5,57.0,5430
381,0.64,4,5,3,60.1,60.0,1901
382,1.34,5,3,4,61.2,56.0,6078
383,2.0,3,2,3,63.6,57.0,14057
384,0.3,5,4,6,61.5,55.0,878
385,0.35,3,7,4,62.6,56.0,721
386,0.5,5,5,2,60.9,57.0,1094
387,0.79,5,4,5,62.0,56.0,3561
388,1.01,4,7,2,62.6,60.0,4338
389,0.55,4,6,4,61.5,56.0,1881
390,0.7,5,2,3,59.9,59.0,2083
391,0.5,4,3,7,62.5,58.0,1710
392,0.9,4,2,4,61.9,59.0,2857
393,1.2,5,7,2,61.7,56.0,6619
394,1.01,2,6,2,63.3,58.0,4149
395,0.43,5,6,4,61.9,56.0,981
396,0.33,4,4,4,61.9,59.0,743
397,0.7,2,3,4,63.4,60.0,2394
398,0.94,5,6,2,60.9,57.0,4366
399,0.31,5,5,7,60.7,57.0,1140
400,0.44,5,6,6,61.8,56.0,1274
401,0.56,5,5,2,61.4,57.0,1279
402,1.41,4,5,2,62.7,56.0,7817
403,0.99,1,1,3,58.0,67.0,2949
404,0.51,5,2,6,60.6,56.0,1575
405,0.36,5,4,6,61.8,54.0,794
406,0.75,3,6,3,59.2,59.0,3260
407,0.32,5,3,7,62.9,57.0,936
408,0.39,4,4,7,60.4,59.0,1170
409,0.54,5,4,6,60.8,56.0,1950
410,0.7,4,7,5,61.2,60.0,3425
411,0.7,4,6,5,62.9,61.0,3175
412,2.04,2,1,4,59.6,56.0,13550
413,0.32,5,2,5,60.9,56.7,529
414,0.3,4,4,3,58.8,60.0,574
415,0.53,4,3,4,59.4,59.0,1428
416,1.24,5,3,7,62.3,54.0,8489
417,0.5,4,2,3,61.7,58.0,965
418,0.52,5,4,3,61.7,56.0,1266
419,0.37,4,7,3,61.9,59.0,681
420,0.33,5,3,7,60.2,60.0,698
421,0.34,4,4,2,62.8,59.0,574
422,1.29,4,5,3,62.5,60.0,7730
423,1.2,2,7,3,63.5,55.0,5913
424,0.54,5,4,6,61.8,56.0,1985
425,1.09,4,2,2,62.3,62.0,2708
426,0.43,2,6,3,63.1,56.0,739
427,0.41,5,5,4,61.4,55.0,1107
428,1.01,2,7,3,62.9,57.0,4977
429,0.37,4,5,3,60.3,58.0,791
430,0.84,1,4,5,55.6,64.0,2724
431,0.45,1,6,4,65.8,58.0,951
432,1.2,5,5,5,62.9,53.0,9032
433,1.35,3,3,2,62.2,56.0,6088
434,0.3,5,4,7,61.3,56.0,789
435,0.9,3,3,5,60.5,63.0,4201
436,0.72,5,4,6,61.6,55.0,3002
437,1.0,5,4,4,60.5,56.0,6328
438,0.3,3,2,5,60.4,58.0,473
439,0.7,5,1,5,62.2,56.0,1782
440,2.01,3,2,3,62.8,60.0,14811
441,0.41,4,4,5,60.5,57.0,961
442,0.34,5,2,8,62.1,54.0,695
443,0.91,5,5,2,61.7,56.0,4642
444,1.78,4,3,5,60.2,59.0,15460
445,0.7,4,3,6,59.6,59.0,2717
446,0.4,4,5,3,61.5,60.0,882
447,0.33,3,2,7,58.9,61.0,609
448,0.98,1,6,2,53.3,67.0,2855
449,0.43,5,7,4,61.3,55.0,1314
450,1.09,5,6,6,61.6,56.0,10314
451,0.42,5,4,5,62.7,54.0,984
452,1.01,4,3,2,59.4,59.0,4072
453,1.02,1,5,3,65.1,56.0,4462
454,1.04,5,2,3,61.9,54.0,4941
455,1.55,5,3,8,61.4,57.0,13421
456,1.14,3,5,2,62.9,59.0,4652
457,1.17,4,5,2,62.5,57.0,4259
458,0.65,4,7,3,60.5,58.0,2134
459,0.51,4,4,5,62.0,52.0,1781
460,0.75,4,4,3,59.1,59.0,2622
461,0.52,5,5,4,62.5,54.0,1600
462,1.52,3,5,4,62.9,53.3,15649
463,0.44,5,3,8,61.4,55.0,1177
464,0.51,2,4,7,63.9,57.0,1925
465,1.54,5,4,1,61.6,55.0,6299
466,0.5,5,3,4,61.3,56.0,1349
467,0.73,2,5,6,58.2,63.0,3166
468,1.17,3,5,4,62.4,56.0,7432
469,0.73,3,6,2,63.1,59.0,1975
470,1.01,1,7,2,64.6,62.0,4538
471,1.71,4,3,4,59.2,61.0,10084
472,0.24,3,6,5,59.8,58.0,419
473,0.31,5,5,4,62.2,56.0,583
474,0.72,3,3,3,63.0,58.0,2198
475,1.01,2,5,4,65.2,57.0,5700
476,1.82,4,3,4,61.6,60.0,14749
477,1.0,4,1,2,62.7,58.0,3293
478,0.3,4,7,4,62.3,58.0,710
479,0.74,4,4,2,60.1,58.0,2206
480,1.51,5,2,6,61.6,58.0,10821
481,0.32,5,4,5,61.8,55.0,559
482,1.07,5,2,5,62.0,57.0,5302
483,1.14,3,5,7,62.2,55.9,11737
484,1.01,3,5,2,60.0,55.0,4425
485,1.25,4,1,5,60.9,59.0,5156
486,2.01,4,2,4,62.1,59.0,15520
487,0.5,4,6,4,61.8,59.0,1420
488,2.05,4,2,2,62.0,58.0,9850
489,1.06,4,6,5,63.0,58.0,8044
490,1.0,1,4,3,68.2,60.0,3833
491,0.31,5,7,4,59.0,57.0,734
492,1.67,5,3,5,61.8,56.0,14014
493,0.31,5,6,5,61.9,56.0,734
494,0.73,5,4,3,60.7,56.0,2659
495,0.44,4,6,3,62.3,59.0,810
496,0.32,5,4,7,61.1,57.0,1080
497,0.41,3,7,2,62.7,58.0,683
498,1.0,3,5,2,61.1,61.0,4372
499,0.7,2,6,3,61.7,59.0,2459
500,1.0,3,5,4,62.7,58.0,6319
501,1.01,2,5,2,63.7,60.0,3897
502,0.9,5,4,2,61.4,56.0,4044
503,1.51,4,5,4,63.0,56.0,13248
504,1.97,4,5,2,61.1,58.0,14542
505,0.75,2,6,4,62.6,58.0,3084
506,1.5,2,5,4,63.6,55.0,13853
507,1.37,5,4,7,62.6,55.0,12455
508,0.54,4,5,4,62.4,55.0,1814
509,0.32,3,3,6,60.2,60.0,645
510,0.51,5,7,4,62.4,55.0,1678
511,0.49,4,3,4,59.6,62.0,965
512,0.91,4,6,3,62.4,57.0,4138
513,0.3,5,4,5,61.8,56.0,624
514,0.4,4,6,5,61.2,59.0,1053
515,1.52,3,1,3,62.3,57.0,7239
516,0.73,3,7,3,60.8,59.0,3014
517,0.52,2,6,3,63.7,54.0,1388
518,0.72,5,2,5,61.4,58.0,2586
519,2.01,3,3,2,62.2,63.0,12423
520,0.73,5,4,4,61.6,56.0,3595
521,0.49,5,6,6,61.9,56.0,2199
522,1.0,2,3,3,56.8,65.0,4138
523,1.14,5,6,6,62.3,55.0,10512
524,1.04,5,4,2,61.4,57.0,4375
525,4.01,4,1,1,62.5,62.0,15223
526,0.71,4,4,3,58.9,62.0,2181
527,0.51,5,3,8,59.6,59.0,2063
528,2.01,3,1,4,61.1,59.0,13109
529,0.7,5,7,2,60.6,57.0,2828
530,0.97,4,5,2,58.9,58.0,4020
531,1.59,5,3,5,60.7,56.0,13839
532,1.01,4,4,3,61.5,59.0,5006
533,1.01,4,5,2,62.7,59.0,4497
534,0.58,4,3,3,62.1,55.0,1332
535,1.03,5,5,2,60.9,56.0,4891
536,1.31,5,4,5,62.2,56.0,10071
537,0.69,5,4,3,62.4,56.0,2297
538,1.23,3,5,6,58.5,59.0,10650
539,0.33,5,7,2,61.3,56.0,631
540,2.01,4,2,4,61.1,60.0,17592
541,0.29,5,7,5,61.7,57.0,504
542,0.3,3,4,3,62.1,58.0,432
543,0.52,3,5,2,57.9,61.0,1273
544,0.7,4,5,2,58.8,58.0,2234
545,0.53,3,6,5,62.6,59.0,1909
546,0.7,5,2,5,63.1,54.0,2142
547,0.4,5,5,7,61.9,55.0,1168
548,1.0,4,5,4,60.5,59.0,6640
549,0.82,4,2,4,62.6,59.0,2648
550,2.46,5,4,2,63.0,56.0,15745
551,0.54,5,2,3,62.0,55.0,1057
552,0.7,1,3,1,62.1,66.0,1138
553,0.43,5,7,2,62.6,56.0,919
554,0.82,4,2,8,61.2,60.0,3224
555,0.36,5,5,3,62.0,56.0,770
556,0.61,5,4,8,62.3,56.0,2800
557,0.55,4,7,3,60.5,60.0,1698
558,2.25,1,3,1,67.7,58.0,6653
559,0.38,4,6,7,61.9,58.0,1327
560,0.4,5,6,6,62.4,59.0,1166
561,1.22,5,4,5,61.3,56.0,8313
562,0.57,3,4,2,60.5,56.0,1171
563,0.7,2,5,3,58.7,60.0,2409
564,0.7,4,5,3,61.9,59.0,2401
565,0.56,4,6,2,62.6,59.0,1206
566,1.12,5,4,6,62.1,54.8,8701
567,1.29,5,5,5,62.3,54.0,10923
568,0.58,5,3,7,61.6,56.0,2006
569,0.31,5,5,4,61.9,54.0,802
570,0.57,5,6,4,61.8,56.0,1851
571,1.38,4,1,4,60.2,59.0,6175
572,1.02,4,7,6,61.4,58.0,10773
573,0.39,5,5,8,61.9,57.0,1433
574,0.71,4,7,4,62.1,60.0,2950
575,1.23,4,4,6,59.6,59.0,8971
576,1.52,4,1,5,62.4,59.0,8110
577,0.51,5,6,4,61.8,57.0,1656
578,0.7,5,5,3,61.2,55.0,3119
579,0.36,4,7,4,60.5,58.0,852
580,1.01,4,4,4,61.6,61.0,5864
581,1.7,4,2,5,58.0,60.0,12030
582,0.31,5,4,4,62.2,53.6,557
583,0.57,5,6,4,61.6,56.0,1949
584,0.8,3,5,3,63.5,58.0,3082
585,0.83,4,7,2,62.7,56.0,3078
586,1.24,5,2,2,61.9,57.0,5221
587,1.0,3,7,2,63.2,57.0,4628
588,1.0,4,4,6,61.6,61.0,7762
589,1.3,5,4,4,61.9,55.0,9225
590,0.46,5,4,3,61.5,55.0,979
591,0.33,5,3,5,62.0,55.0,579
592,0.33,5,7,4,61.8,56.0,781
593,0.5,3,4,6,62.1,61.0,1715
594,1.07,3,4,5,61.2,55.0,6780
595,0.35,5,7,3,62.7,56.0,827
596,0.7,5,2,5,62.7,57.0,2163
597,0.73,4,6,5,61.2,58.0,3370
598,0.7,5,5,3,61.8,58.0,2343
599,0.7,4,4,5,61.0,59.0,2535
600,1.07,3,6,4,60.4,58.0,6441
601,1.15,2,1,2,63.8,60.0,3733
602,0.81,4,5,3,61.6,58.0,3311
603,1.23,3,4,6,60.6,55.0,10004
604,0.51,5,6,3,62.5,56.0,1343
605,1.2,3,3,2,60.2,58.0,5408
606,0.28,3,5,5,62.1,59.0,487
607,1.83,4,4,1,62.0,58.0,6313
608,2.01,2,3,3,56.7,58.0,13929
609,0.24,3,6,5,62.4,59.0,419
610,0.42,5,3,3,61.7,55.0,885
611,0.3,5,3,8,61.6,57.0,764
612,1.03,3,7,2,61.8,60.0,4478
